date;time;user;nice;system;idle;iowait;irq;softirq
2023-10-25;14:31:50;0.5;0.0;0.5;68.5;0.0;0.0;30.5
2023-10-25;14:31:51;0.5;0.0;0.5;69.0;0.0;0.0;30.0
2023-10-25;14:31:52;0.2;0.0;0.2;66.8;0.0;0.0;32.8
2023-10-25;14:31:53;0.2;0.0;0.2;66.2;0.0;0.0;33.2
2023-10-25;14:31:54;0.0;0.0;0.0;70.0;0.0;0.0;30.0
2023-10-25;14:31:55;0.0;0.0;0.0;67.0;0.0;0.0;33.0
2023-10-25;14:31:56;0.8;0.8;1.2;65.5;0.0;0.0;31.8
2023-10-25;14:31:57;0.2;0.0;0.5;65.2;0.0;0.0;34.0
2023-10-25;14:31:58;0.0;0.0;0.2;66.0;0.0;0.0;33.8
2023-10-25;14:31:59;0.0;0.0;0.0;67.2;0.0;0.0;32.8
2023-10-25;14:32:00;0.5;0.0;0.2;63.0;0.0;0.0;36.2
2023-10-25;14:32:01;0.0;0.0;0.5;60.8;0.0;0.0;38.8
2023-10-25;14:32:02;0.2;0.0;0.0;59.2;0.0;0.0;40.5
2023-10-25;14:32:03;0.0;0.0;0.0;57.2;0.0;0.0;42.8
2023-10-25;14:32:04;0.0;0.0;0.2;57.2;0.0;0.0;42.5
2023-10-25;14:32:05;0.2;0.0;0.5;55.9;0.0;0.0;43.3
2023-10-25;14:32:06;0.2;0.0;0.5;50.0;0.0;0.0;49.2
2023-10-25;14:32:07;0.0;0.0;0.0;53.0;0.0;0.0;47.0
2023-10-25;14:32:08;0.2;0.0;0.0;53.8;0.0;0.0;46.0
2023-10-25;14:32:09;0.2;0.0;0.5;51.5;0.0;0.0;47.8
2023-10-25;14:32:10;0.5;0.0;0.0;53.2;0.0;0.0;46.2
2023-10-25;14:32:11;1.0;0.0;0.8;45.0;1.2;0.0;52.0
2023-10-25;14:32:12;0.0;0.0;0.0;50.8;0.0;0.0;49.2
2023-10-25;14:32:13;0.0;0.0;0.0;51.5;0.0;0.0;48.5
