date;time;user;nice;system;idle;iowait;irq;softirq
2023-10-25;14:31:53;0.8;1.0;1.0;91.2;0.0;0.0;6.0
2023-10-25;14:31:54;1.0;0.0;0.5;95.5;0.0;0.0;3.0
2023-10-25;14:31:55;0.5;0.0;0.5;88.8;0.0;0.0;10.2
2023-10-25;14:31:56;0.2;0.0;0.2;95.0;0.0;0.0;4.5
2023-10-25;14:31:57;0.5;0.0;0.5;90.5;0.0;0.0;8.5
2023-10-25;14:31:58;3.8;0.0;9.8;84.0;0.0;0.0;2.5
2023-10-25;14:31:59;0.5;0.0;0.8;89.5;0.0;0.0;9.2
2023-10-25;14:32:00;0.2;0.0;0.7;93.6;0.0;0.0;5.4
2023-10-25;14:32:01;0.8;0.0;0.2;82.5;0.0;0.0;16.5
2023-10-25;14:32:02;0.5;0.0;0.2;86.2;0.0;0.0;13.0
2023-10-25;14:32:03;0.0;0.0;0.8;89.0;0.0;0.0;10.2
2023-10-25;14:32:04;0.8;0.0;1.5;93.8;0.0;0.0;4.0
2023-10-25;14:32:05;0.8;0.0;0.2;90.8;0.0;0.0;8.2
2023-10-25;14:32:06;0.2;0.0;0.0;97.2;0.0;0.0;2.5
2023-10-25;14:32:07;0.5;0.0;0.8;92.5;0.0;0.0;6.2
2023-10-25;14:32:08;0.2;0.0;0.0;91.0;0.0;0.0;8.8
2023-10-25;14:32:09;0.5;0.0;1.8;81.5;0.0;0.0;16.2
2023-10-25;14:32:10;0.2;0.0;0.0;84.5;0.0;0.0;15.2
2023-10-25;14:32:11;0.5;0.0;1.5;85.8;0.0;0.0;12.2
2023-10-25;14:32:12;0.0;0.0;0.0;88.2;0.0;0.0;11.8
2023-10-25;14:32:13;0.8;0.0;0.5;95.8;0.0;0.0;3.0
2023-10-25;14:32:14;0.0;0.0;0.5;89.5;0.0;0.0;10.0
2023-10-25;14:32:15;0.5;0.0;0.5;89.9;0.0;0.0;9.2
2023-10-25;14:32:16;0.2;0.0;0.8;86.5;0.0;0.0;12.5
2023-10-25;14:32:17;0.0;0.0;0.2;94.2;0.0;0.0;5.5
2023-10-25;14:32:18;0.8;0.0;0.8;89.0;0.0;0.0;9.5
2023-10-25;14:32:19;0.5;0.0;0.0;93.0;0.0;0.0;6.5
2023-10-25;14:32:20;0.0;0.0;1.0;92.5;0.0;0.0;6.5
2023-10-25;14:32:21;0.2;0.0;0.5;94.8;0.0;0.0;4.5
2023-10-25;14:32:22;0.0;0.0;0.8;91.5;0.0;0.0;7.8
2023-10-25;14:32:23;0.8;0.8;1.5;94.5;0.0;0.0;2.5
2023-10-25;14:32:24;3.8;0.0;7.2;76.0;0.0;0.0;13.0
2023-10-25;14:32:25;6.5;0.0;14.0;66.5;0.0;0.0;13.0
2023-10-25;14:32:26;0.2;0.0;0.0;85.5;0.0;0.0;14.2
2023-10-25;14:32:27;0.5;0.0;0.2;86.5;0.0;0.0;12.8
2023-10-25;14:32:28;0.2;0.0;0.2;80.8;0.0;0.0;18.8
2023-10-25;14:32:29;1.2;0.0;0.2;90.2;0.0;0.0;8.2
2023-10-25;14:32:30;5.2;0.0;9.5;81.2;0.0;0.0;4.0
2023-10-25;14:32:31;0.0;0.0;0.5;96.5;0.0;0.0;3.0
2023-10-25;14:32:32;1.2;0.0;0.5;93.5;0.0;0.0;4.8
2023-10-25;14:32:33;0.8;0.0;0.0;93.5;0.0;0.0;5.8
2023-10-25;14:32:34;0.5;0.0;1.0;96.2;0.0;0.0;2.2
2023-10-25;14:32:35;0.8;0.0;0.8;92.0;0.0;0.0;6.5
2023-10-25;14:32:36;5.2;0.0;10.0;81.0;0.0;0.0;3.8
2023-10-25;14:32:37;1.5;0.0;2.8;91.5;0.0;0.0;4.2
2023-10-25;14:32:38;0.0;0.0;1.0;96.2;0.0;0.0;2.8
2023-10-25;14:32:39;0.2;0.0;2.2;93.0;0.0;0.0;4.5
2023-10-25;14:32:40;0.2;0.0;0.0;94.5;0.0;0.0;5.2
2023-10-25;14:32:41;0.2;0.0;2.2;92.8;0.0;0.0;4.8
2023-10-25;14:32:42;0.0;0.0;0.2;95.0;0.0;0.0;4.8
2023-10-25;14:32:43;0.8;0.0;0.2;95.0;0.0;0.0;4.0
2023-10-25;14:32:44;1.0;0.0;0.5;92.8;0.0;0.0;5.8
2023-10-25;14:32:45;5.8;0.0;12.0;79.0;0.0;0.0;3.2
2023-10-25;14:32:46;0.2;0.0;1.0;95.0;0.0;0.0;3.7
2023-10-25;14:32:47;2.0;0.0;6.2;86.5;0.0;0.0;5.2
2023-10-25;14:32:48;0.8;0.0;1.0;93.5;0.0;0.0;4.8
2023-10-25;14:32:49;0.2;0.0;0.5;96.2;0.0;0.0;3.0
2023-10-25;14:32:50;3.0;0.0;5.2;86.8;0.0;0.0;5.0
2023-10-25;14:32:51;6.8;0.0;11.5;79.5;0.0;0.0;2.2
2023-10-25;14:32:52;0.0;0.0;0.2;95.8;0.0;0.0;4.0
2023-10-25;14:32:53;0.8;0.5;1.8;91.8;0.0;0.0;5.2
2023-10-25;14:32:54;0.2;0.0;0.5;86.5;0.0;0.0;12.8
2023-10-25;14:32:55;0.5;0.0;0.5;88.0;0.0;0.0;11.0
2023-10-25;14:32:56;0.2;0.0;0.0;96.2;0.0;0.0;3.5
